source_labware,dest_labware,num_samples,repeat,unoptimized,rowwise,greedy,VRP
24,384,3451,2,5269,3035,4395.0,3135
24,384,3835,2,6004,3494,4954.0,3531
24,384,379,3,625,508,516.0,374
24,384,763,3,1254,925,1029.0,735
24,384,1147,3,1896,1308,1533.0,1053
24,384,1531,3,2522,1653,2051.0,1371
24,384,1915,3,3066,2000,2553.0,1713
24,384,2299,3,3644,2346,3033.0,2026
24,384,2683,3,4282,2688,3497.0,2414
24,384,3067,3,4825,2893,4003.0,2778
24,384,3451,3,5405,3291,4503.0,3209
24,384,3835,3,5961,3420,4928.0,3521
96,12,7,1,10,10,10.0,9
96,12,19,1,26,25,27.0,20
96,12,31,1,49,48,52.0,40
96,12,43,1,59,58,71.0,45
96,12,55,1,73,74,91.0,56
96,12,67,1,86,83,93.0,62
96,12,79,1,109,108,126.0,84
96,12,91,1,104,101,134.0,74
96,12,103,1,127,122,155.0,82
96,12,115,1,137,126,164.0,90
96,12,7,2,12,12,12.0,10
96,12,19,2,22,23,23.0,18
96,12,31,2,43,44,51.0,30
96,12,43,2,60,61,70.0,47
96,12,55,2,81,83,91.0,63
96,12,67,2,97,98,105.0,66
96,12,79,2,103,101,126.0,75
96,12,91,2,114,115,147.0,82
96,12,103,2,139,140,173.0,101
96,12,115,2,136,128,173.0,94
96,12,7,3,9,9,10.0,9
96,12,19,3,15,15,16.0,11
96,12,31,3,48,48,50.0,38
96,12,43,3,60,61,73.0,45
96,12,55,3,74,76,92.0,56
96,12,67,3,77,83,97.0,57
96,12,79,3,107,98,121.0,74
96,12,91,3,101,101,120.0,71
96,12,103,3,138,126,167.0,93
96,12,115,3,146,137,181.0,104
96,24,19,1,31,32,34.0,25
96,24,43,1,60,58,73.0,45
96,24,67,1,63,61,76.0,47
96,24,91,1,119,110,137.0,83
96,24,115,1,141,128,170.0,97
96,24,139,1,194,174,225.0,129
96,24,163,1,226,203,262.0,149
96,24,187,1,237,212,275.0,160
96,24,211,1,299,254,341.0,185
96,24,235,1,338,283,370.0,218
96,24,19,2,30,30,32.0,26
96,24,43,2,61,60,69.0,46
96,24,67,2,97,94,110.0,71
96,24,91,2,126,119,150.0,88
96,24,115,2,157,147,186.0,110
96,24,139,2,195,170,227.0,123
96,24,163,2,220,202,261.0,154
96,24,187,2,264,237,305.0,176
96,24,211,2,298,245,339.0,193
96,24,235,2,306,265,350.0,200
96,24,19,3,29,29,32.0,27
96,24,43,3,56,57,68.0,43
96,24,67,3,94,94,115.0,70
96,24,91,3,118,124,154.0,87
96,24,115,3,162,149,187.0,100
96,24,139,3,173,159,197.0,115
96,24,163,3,225,200,266.0,151
