source_labware,dest_labware,num_samples,repeat,unoptimized,rowwise,greedy,VRP
24,96,96,3,261,225,269.06,180.14
24,96,192,3,556,463,565.36,351.38
24,96,288,3,808,625,833.82,515.14
24,96,384,3,1062,837,1108.5,657.89
24,96,480,3,1315,951,1360.4,792.46
24,96,576,3,1566,1154,1635.31,948.09
24,96,672,3,1810,1321,1928.56,1101.35
24,96,768,3,2065,1501,2183.62,1269.55
24,96,864,3,2248,1589,2415.04,1384.08
24,96,960,3,2454,1736,2643.42,1493.62
24,384,384,1,1111,944,1111.8,748.04
24,384,768,1,2228,1760,2232.41,1400.67
24,384,1152,1,3316,2491,3317.11,2018.59
24,384,1536,1,4336,3286,4431.58,2691.91
24,384,1920,1,5378,3937,5495.72,3267.31
24,384,2304,1,6490,4735,6634.62,3954.46
24,384,2688,1,7495,5396,7683.89,4635.83
24,384,3072,1,8452,5925,8702.82,5211.91
24,384,3456,1,9509,6559,9726.56,5837.8
24,384,3840,1,10573,7086,10776.97,6403.97
24,384,384,2,1136,983,1132.15,740.21
24,384,768,2,2224,1792,2232.11,1401.06
24,384,1152,2,3296,2537,3348.39,2027.74
24,384,1536,2,4414,3287,4472.65,2670.02
24,384,1920,2,5435,4026,5555.02,3309.88
24,384,2304,2,6382,4648,6549.97,3906.8
24,384,2688,2,7488,5344,7670.13,4629.29
24,384,3072,2,8534,6025,8764.51,5256.34
24,384,3456,2,9530,6596,9726.65,5822.92
24,384,3840,2,10555,7179,10733.15,6429.91
24,384,384,3,1102,908,1094.26,716.4
24,384,768,3,2210,1732,2238.7,1381.45
24,384,1152,3,3299,2501,3320.71,2009.15
24,384,1536,3,4372,3297,4417.67,2652.98
24,384,1920,3,5400,3972,5476.13,3280.46
24,384,2304,3,6467,4575,6570.65,3969.45
24,384,2688,3,7479,5322,7690.81,4614.26
24,384,3072,3,8511,5921,8697.02,5263.72
24,384,3456,3,9469,6560,9681.3,5898.58
24,384,3840,3,10577,7137,10720.29,6464.52
96,12,12,1,28,28,29.08,24.24
96,12,24,1,67,65,65.71,54.09
96,12,36,1,89,89,100.4,73.0
96,12,48,1,123,119,139.54,101.04
96,12,60,1,150,147,168.52,119.42
96,12,72,1,180,177,204.17,136.19
96,12,84,1,198,202,241.45,154.94
96,12,96,1,230,228,261.67,178.81
96,12,108,1,263,249,306.51,195.23
96,12,120,1,302,284,338.94,217.52
96,12,12,2,34,35,33.0,29.8
96,12,24,2,65,64,61.77,52.24
96,12,36,2,92,91,99.78,80.84
96,12,48,2,130,128,135.73,104.08
96,12,60,2,151,154,173.81,116.59
96,12,72,2,190,191,208.73,153.14
96,12,84,2,195,196,241.25,154.01
96,12,96,2,231,225,280.12,177.78
96,12,108,2,271,259,312.87,201.34
96,12,120,2,289,282,332.93,220.66
96,12,12,3,34,32,32.68,31.2
96,12,24,3,64,66,66.48,50.08
96,12,36,3,96,93,98.2,74.67
96,12,48,3,124,120,142.39,96.63
96,12,60,3,152,150,173.56,122.24
96,12,72,3,179,176,211.72,138.53
96,12,84,3,201,200,230.49,153.63
96,12,96,3,244,237,279.5,183.64
96,12,108,3,274,260,304.28,197.88
96,12,120,3,290,279,343.58,224.78
96,24,24,1,67,69,70.58,59.76
96,24,48,1,124,120,130.23,97.18
96,24,72,1,186,181,210.0,144.43
96,24,96,1,237,233,272.19,183.84
96,24,120,1,296,282,346.58,220.33
96,24,144,1,360,354,421.61,265.57
96,24,168,1,422,398,478.06,308.41
96,24,192,1,467,437,547.81,330.03
96,24,216,1,527,469,603.74,367.46
96,24,240,1,611,550,698.26,437.02
96,24,24,2,66,66,68.66,54.46
96,24,48,2,125,120,134.56,97.11
96,24,72,2,190,186,205.32,145.66
96,24,96,2,241,229,271.66,171.72
96,24,120,2,296,275,335.95,216.99
96,24,144,2,368,351,425.19,265.71
96,24,168,2,426,384,489.37,301.38
96,24,192,2,484,435,558.39,342.15
96,24,216,2,541,490,620.81,386.12
96,24,240,2,611,541,692.03,425.84
96,24,24,3,69,70,69.24,57.29
96,24,48,3,128,128,141.54,106.59
96,24,72,3,185,179,208.9,147.99
96,24,96,3,253,239,281.17,180.87
96,24,120,3,303,295,352.96,229.3
96,24,144,3,372,342,422.92,275.34
96,24,168,3,430,390,482.33,308.25
96,24,192,3,469,418,540.21,327.53
96,24,216,3,533,472,621.99,385.72
96,24,240,3,614,540,697.1,432.06
96,96,96,1,241,225,271.68,193.9
96,96,192,1,513,464,560.06,377.03
96,96,288,1,775,666,836.76,534.44
96,96,384,1,1040,841,1110.45,686.92
96,96,480,1,1303,1040,1363.41,861.52
96,96,576,1,1610,1262,1687.06,1026.17
96,96,672,1,1887,1415,1969.76,1183.0
96,96,768,1,2161,1588,2227.93,1345.71
96,96,864,1,2399,1752,2488.82,1504.51
96,96,960,1,2654,1937,2748.39,1640.46
96,96,96,2,249,245,274.57,198.57
96,96,192,2,494,452,548.5,363.94
96,96,288,2,755,644,822.43,525.72
96,96,384,2,1044,856,1109.69,705.62
96,96,480,2,1310,1018,1376.73,872.6
96,96,576,2,1577,1213,1651.46,1023.58
96,96,672,2,1868,1403,1944.52,1183.34
96,96,768,2,2146,1624,2219.78,1349.7
96,96,864,2,2382,1823,2486.14,1501.37
96,96,960,2,2696,1969,2789.0,1658.44
96,96,96,3,241,235,277.54,189.16
96,96,192,3,479,434,541.28,356.8
96,96,288,3,758,655,828.79,535.76
96,96,384,3,1033,841,1096.27,698.28
96,96,480,3,1311,1043,1380.05,855.81
96,96,576,3,1587,1214,1674.59,1041.25
96,96,672,3,1888,1403,1948.88,1187.16
96,96,768,3,2152,1572,2239.86,1351.04
96,96,864,3,2411,1806,2503.92,1515.25
96,96,960,3,2696,1973,2792.27,1686.15
96,384,384,1,1047,960,1105.44,752.2
96,384,768,1,2216,1798,2252.42,1465.25
96,384,1152,1,3319,2623,3340.24,2090.49
96,384,1536,1,4452,3440,4502.35,2758.75
96,384,1920,1,5566,4270,5631.82,3419.64
96,384,2304,1,6688,4924,6746.77,4042.0
96,384,2688,1,7779,5728,7862.69,4765.22
96,384,3072,1,8854,6494,8950.09,5370.21
96,384,3456,1,9922,7169,10097.0,6051.27
96,384,3840,1,11074,7961,11216.79,6777.9
96,384,384,2,1052,956,1093.14,748.2
96,384,768,2,2196,1778,2239.94,1429.89
96,384,1152,2,3337,2646,3364.74,2113.34
96,384,1536,2,4401,3400,4457.12,2730.37
96,384,1920,2,5545,4199,5618.23,3430.46
96,384,2304,2,6676,4919,6741.62,4081.25
96,384,2688,2,7770,5711,7857.71,4747.71
96,384,3072,2,8837,6407,8938.78,5337.92
96,384,3456,2,9960,7218,10087.84,6059.25
96,384,3840,2,11055,7910,11240.13,6739.43
96,384,384,3,1042,951,1093.2,744.31
96,384,768,3,2172,1789,2244.48,1435.45
96,384,1152,3,3320,2639,3352.09,2104.37
96,384,1536,3,4446,3401,4488.67,2739.08
96,384,1920,3,5561,4195,5576.46,3396.42
96,384,2304,3,6661,5018,6753.7,4066.47
96,384,2688,3,7803,5753,7883.42,4729.67
96,384,3072,3,8943,6489,9039.45,5419.7
96,384,3456,3,9983,7152,10117.82,6025.72
96,384,3840,3,11079,7950,11282.78,6797.59
384,12,12,1,35,35,32.3,32.42
384,12,24,1,67,67,65.06,63.47
384,12,36,1,106,107,105.59,84.58
384,12,48,1,133,133,135.97,102.3
384,12,60,1,172,172,182.31,132.4
384,12,72,1,214,210,218.64,160.92
384,12,84,1,237,236,252.19,184.76
384,12,96,1,256,249,272.08,190.72
384,12,108,1,299,295,312.3,228.79
384,12,120,1,326,323,350.36,243.96
384,12,12,2,37,37,32.12,31.27
384,12,24,2,66,66,66.15,57.3
384,12,36,2,102,102,102.12,76.23
384,12,48,2,130,134,137.84,100.39
384,12,60,2,167,168,173.86,124.33
384,12,72,2,191,190,205.31,148.16
384,12,84,2,231,228,238.86,173.44
384,12,96,2,264,262,278.01,202.71
384,12,108,2,299,290,299.61,212.32
384,12,120,2,340,331,347.42,237.29
384,12,12,3,36,35,32.78,29.88
384,12,24,3,70,66,67.7,54.69
384,12,36,3,103,102,101.0,79.73
384,12,48,3,137,137,138.38,108.33
384,12,60,3,159,161,165.63,126.37
384,12,72,3,209,205,219.01,153.08
384,12,84,3,232,229,238.07,179.7
384,12,96,3,260,258,277.03,205.25
384,12,108,3,300,297,313.69,222.53
384,12,120,3,321,311,342.63,244.38
384,24,24,1,73,74,69.43,66.87
384,24,48,1,140,140,139.66,108.51
384,24,72,1,203,200,207.73,156.74
384,24,96,1,263,258,284.48,197.18
384,24,120,1,327,327,344.37,242.68
384,24,144,1,393,383,427.1,291.84
384,24,168,1,467,442,495.9,333.39
384,24,192,1,510,488,560.55,365.18
384,24,216,1,592,559,627.2,419.76
384,24,240,1,658,622,698.8,474.32
384,24,24,2,67,65,63.61,57.74
384,24,48,2,137,134,137.5,113.55
384,24,72,2,205,202,212.17,149.11
384,24,96,2,267,266,280.72,205.43
384,24,120,2,327,315,344.13,243.11
384,24,144,2,389,380,413.66,287.44
384,24,168,2,466,461,499.57,347.73
384,24,192,2,532,512,560.21,393.22
384,24,216,2,591,550,624.02,444.35
384,24,240,2,653,606,686.4,462.63
384,24,24,3,69,69,64.11,58.49
384,24,48,3,138,137,141.1,106.1
384,24,72,3,203,202,207.18,151.28
384,24,96,3,276,275,285.34,210.87
384,24,120,3,338,327,353.93,249.57
384,24,144,3,398,385,425.12,296.58
